normalized_rms,signal_length,sampling_rate,mag_mean,mag_std,mag_var,mag_rms,mag_max,mag_min,mag_range,mag_peak_to_avg,mag_skewness,mag_kurtosis,i_mean,i_std,i_var,i_skewness,i_kurtosis,i_rms,q_mean,q_std,q_var,q_skewness,q_kurtosis,q_rms,iq_imbalance_dc,iq_imbalance_power_db,iq_correlation,iq_power_ratio,iq_amplitude_ratio,phase_mean,phase_std,phase_var,phase_range,phase_skewness,phase_kurtosis,phase_unwrapped_slope,phase_unwrapped_mean,phase_unwrapped_std,phase_unwrapped_range,inst_freq_mean,inst_freq_std,inst_freq_var,inst_freq_range,inst_freq_skewness,inst_freq_kurtosis,freq_acceleration_mean,freq_acceleration_std,am_depth,amplitude_variation,evm,evm_rms,spectral_centroid_mag,spectral_bandwidth_mag,spectral_rolloff_85,spectral_rolloff_95,phase_circular_mean,phase_circular_variance,phase_circular_std,burst_duty_cycle,num_peaks,peak_prominence_mean,device,device_class,filename,raw_saved
True,200000,20000000000.0,0.9815525014889593,0.19119280007307127,0.0365546867997814,0.9999999999895075,1.8697555438276172,0.0299099742197288,1.8398455696078884,1.9048961120158112,-0.014675571037711475,-0.010940498665398923,-0.961788102458172,0.19340527053588072,0.03740559867105721,0.02238624416684512,-0.006633954176454626,0.9810412594285464,0.00680006936357855,0.19367964873604368,0.03751180633451727,-0.009278007398716018,-0.025201287245746773,0.1937989867823533,0.9685881718217506,-0.012313676127033928,-0.0013345611351097564,0.9971686870125607,6.205259796463964,0.08182592820677345,2.9795042083710634,8.877445327700878,6.283180072724765,-0.05636904765846275,-1.990027964366461,1.872440980160696e-07,-3.1486109656266303,0.20625314598981193,2.4211016103120553,-17098.620470025377,544784881.8725355,2.9679056751687245e+17,9333615264.514378,-0.9792712966840993,2.4014120438918516,19710786810257.637,2.30099436302911e+18,0.968510273060115,0.1947861166701199,0.24051611449116506,0.2676472363680874,2219866107.2135735,1759195953.9402597,4599609375.0,5810546875.0,3.1345563090096853,0.021029637466050355,0.20617424723843644,0.021715,2868.0,0.0,DJI_Inspire1Pro,DJI_Inspire1Pro,DJI_Inspire1Pro_0006.mat,COMPLETE_IQ_ANALYSIS/raw_iq_signals/DJI_Inspire1Pro_0006_iq.npy
True,200000,20000000000.0,0.9802659023150269,0.19768348627441018,0.039078760745604915,0.9999999999935494,2.981557994563018,0.044469687964935854,2.937088306598082,3.0415808481337923,-0.023015381619649326,-0.05949343764311754,-0.959043633267805,0.20010299198421136,0.040041207401033355,0.028651002578199053,-0.10514992997557426,0.979696839799203,0.008521277517561892,0.20030349448779564,0.040121489904022374,-0.019298455232716075,0.12938599938581952,0.20048466792888098,0.9675649107853669,-0.008698873882652888,-0.0002784530952800375,0.997999014887556,5.969696758481577,0.10594481976088406,2.9722759648011463,8.834424410934586,6.283178073643788,-0.07284220645126534,-1.987372103008489,1.4202645770991291e-05,2.6208839867391784,1.7312332403584278,8.640894640040715,80062.18241455944,568773834.1754206,3.2350367444260883e+17,13656919121.089035,-1.0194356755735543,2.8259760904357174,11867858455381.625,2.4018218336314056e+18,0.9706085385654692,0.20166312610420598,0.2487586153244639,0.2757970893977765,2247792870.9955893,1732119017.38667,4609375000.0,5805664062.5,3.1326874106751887,0.022669095915568982,0.21414943490323912,0.020785,2833.0,0.0,DJI_Matrice100,DJI_Matrice100,DJI_Matrice100_0007.mat,COMPLETE_IQ_ANALYSIS/raw_iq_signals/DJI_Matrice100_0007_iq.npy
True,200000,20000000000.0,0.9980091749043832,0.06306890520945609,0.003977686804319358,0.9999999999988236,1.2698248439134698,0.7098935922660843,0.5599312516473856,1.2723578859220972,0.012255500208431597,0.004393351692655756,-0.9960056814202077,0.06312498153581425,0.003984763293896891,-0.011753828534357568,0.005108588142078929,0.9980040484463123,0.0013001607726403062,0.06313658895112446,0.003986228864383251,-0.023043637798968196,0.01644972248076515,0.06314997452428595,0.997305842192848,-0.0015970136952597723,-4.226833348544441e-05,0.999632341359251,19.758408273852403,0.06322295985972089,3.0905127999135225,9.55126936642932,6.283184102553535,-0.04108039776655068,-1.9977056163361007,2.641792729059156e-08,-3.1428980068347387,0.06350292720746793,0.732266547540255,-8713.83476160061,165788094.03363198,2.74856921233044e+16,3017677053.7465525,-0.2588822324398543,0.26233069652077967,30358958490989.22,6.873396051115817e+17,0.2828337815187769,0.06319471483359396,0.0792942174619447,0.08948741778635999,2239753101.930638,1785563973.936293,4711914062.5,5825195312.5,3.140286259213463,0.0020142583562114957,0.0635025936761937,0.022835,3172.0,0.0,DJI_Matrice600_1,DJI_Matrice600_1,DJI_Matrice600_1_0006.mat,COMPLETE_IQ_ANALYSIS/raw_iq_signals/DJI_Matrice600_1_0006_iq.npy
True,200000,20000000000.0,0.9972178467908166,0.07454237747217667,0.005556566039204471,0.9999999999986584,1.9592324058326178,0.6739988206027024,1.2852335852299155,1.9646984980621145,0.042111173304558894,0.1186168133166614,-0.9944125239675168,0.07458650472795193,0.005563146687532795,-0.031949103949748967,-0.013876271170387255,0.9972058034884173,0.0018587066076749064,0.07468018944863096,0.005577130696083411,0.050760492452993994,1.1881742989172537,0.07470331643465922,0.9962712305751917,-0.010903105421924596,-5.262919742482189e-05,0.9974926157714165,16.685528763264323,0.06602402317803069,3.081204067745784,9.493818507093167,6.283184560196686,-0.04320618973098278,-1.9972800772838168,-3.0925099475159974e-09,3.139726859523729,0.0751925534936676,1.3442771621975522,15568.141241362755,167673943.4279318,2.8114551304673268e+16,4361055043.431127,-0.24102803524350486,0.8758128312402529,-51631315925339.41,6.924865099246298e+17,0.48808231207605896,0.07475034438261358,0.09388621802834754,0.10585450672910772,1782533005.7289596,1670186770.5547028,3994140625.0,5634765625.0,3.1397274603445626,0.002822769551750426,0.07518990727390583,0.02329,2860.0,0.0,DJI_Matrice600_2,DJI_Matrice600_2,DJI_Matrice600_2_0006.mat,COMPLETE_IQ_ANALYSIS/raw_iq_signals/DJI_Matrice600_2_0006_iq.npy
True,200000,20000000000.0,0.9387705040745347,0.3445430896770865,0.11870994064423289,0.9999999999822944,3.6761582079600674,0.0037145158873196625,3.672443692072748,3.9159285384453018,-0.053822550162534746,-0.5459337554405841,-0.857847228186036,0.3631132491012139,0.1318512316728402,0.00822362211012918,-0.5540007281438544,0.9315326610373384,0.01579096421871871,0.3633146664178685,0.13199754683432707,0.0026431686014985216,-0.524805188307842,0.36365767059871557,0.8736381924047547,-0.004816688871949353,-0.00010916351390205485,0.9988915311989138,2.84617261417286,0.06493822597436501,2.7773633544765532,7.7137472027892535,6.283171795370231,-0.051413804301574245,-1.9601620936197732,0.01141539664883095,1220.5896120203606,660.5873568482215,2472.2821704391313,39275616.271124005,1130458969.6279802,1.2779374820123546e+18,19991047102.702187,-1.7859734185563816,16.411906445737753,136866555954032.48,4.557008750845523e+18,0.9979811715422946,0.3670152483288548,0.3943299469845151,0.43312552625993805,1709547033.885335,1132316118.5901792,1669921875.0,4501953125.0,3.123475733172584,0.1059167876899102,0.473194314193271,0.014985,1671.0,0.0,DJI_Phantom3,DJI_Phantom3,DJI_Phantom3_0007.mat,COMPLETE_IQ_ANALYSIS/raw_iq_signals/DJI_Phantom3_0007_iq.npy
True,200000,20000000000.0,0.9979776801643232,0.06356531986288148,0.004040549889270435,0.9999999999977173,1.2831164810055387,0.677685257239963,0.6054312237655757,1.2857166112101623,0.01169846097115006,0.010171855268863883,-0.9959415752498061,0.06362305171342626,0.004047892709329313,-0.011322095112127731,0.011492400532195468,0.997971700009772,0.00245228429725464,0.06361188785726928,0.004046472276765803,-0.009319457453607623,0.001077931764075224,0.06365913897501571,0.9983938595470607,0.0015242357652212545,0.00026771900178610374,1.0003510296045557,19.601209224067098,0.10419369312003207,3.0889973143589247,9.54190440811665,6.283182590738104,-0.06791561509910492,-1.9947696717361247,1.0587825484364962e-08,3.1391292761204763,0.06398774642018505,0.5877359447342823,3028.80302985953,169682271.71283635,2.8792073333628824e+16,1930273279.4550927,-0.26169099446419664,0.16751176872930307,-12164670277127.467,6.968827651559053e+17,0.30876718025913136,0.06369412976485743,0.07993411800649028,0.09020756062791196,2332869831.878869,1740300370.3210528,4736328125.0,5834960937.5,3.1391288492197784,0.0020451096022370274,0.06398755650067355,0.02318,3266.0,0.0,DJI_Phantom4Pro_1,DJI_Phantom4Pro_1,DJI_Phantom4Pro_1_0006.mat,COMPLETE_IQ_ANALYSIS/raw_iq_signals/DJI_Phantom4Pro_1_0006_iq.npy
True,200000,20000000000.0,0.9982525376090252,0.059092056608856615,0.003491871154264315,0.9999999999985613,1.442627629199408,0.7294461371054242,0.7131814920939838,1.4451529796791573,0.007532297748730726,0.04523188721663285,-0.9964941535278293,0.059134075772909744,0.0034968389175162313,-0.004656047052304107,0.03130474300314878,0.9982471822813532,0.0011815780432693139,0.059170659433446814,0.0035011669377889485,-0.01361824403269812,0.27176180714207065,0.05918245571502829,0.9976757315710987,-0.005371917657648138,0.00011577502261933729,0.9987638346447387,21.127545650293055,0.04295265401417024,3.094121516014393,9.573587955863205,6.283184527174137,-0.02809244249646132,-1.9986773747350086,-2.5652747403069907e-10,-3.1427793763585745,0.059464178294406964,0.918865032212588,-11561.731796092374,165522702.91417456,2.739776518001409e+16,3908453217.4338512,-0.2567331600437378,0.4383119271778151,39152046824038.24,6.92063710825856e+17,0.3283412852533695,0.05919549851616943,0.07419961995132746,0.083809596991912,2475011562.37724,1813608296.0824227,4980468750.0,5903320312.5,3.1404057952965365,0.0017663755805830128,0.059463223263519285,0.023135,3388.0,0.0,DJI_Phantom4Pro_2,DJI_Phantom4Pro_2,DJI_Phantom4Pro_2_0006.mat,COMPLETE_IQ_ANALYSIS/raw_iq_signals/DJI_Phantom4Pro_2_0006_iq.npy
True,200000,20000000000.0,0.9762284806524693,0.2167439815672688,0.046977953545632556,0.9999999999913305,4.451682044888075,0.11904002296724119,4.332642021920834,4.5600821253526655,-0.0014460648081109568,0.06673839346360477,-0.9504366209115044,0.2196218304850313,0.04823374842559582,0.0035761535467834014,-0.2570722779407024,0.9754811729578765,0.008622505915497375,0.21991392311339428,0.04836213357912389,-0.0501664969477839,0.5754527577745141,0.220082896171844,0.9590591268270018,-0.011544383758132092,-0.00038641421001153043,0.9973453372499507,5.346649772495977,0.08679806242257593,2.9532238710805316,8.72153123271988,6.283181383342881,-0.06073043586265155,-1.987455202874952,3.109100283932421e-08,-3.1506759989547497,0.23767943551785548,2.7002344790526642,-26206.34470282208,570431744.95752,3.253923756552812e+17,9063147243.560658,-1.1874360042221523,3.3020495659479305,2516717723349.076,2.3455174205280666e+18,0.947911939863991,0.22202177652324218,0.2725097150726878,0.2994869405606265,1969211213.9427097,1573219982.5469701,3881835937.5,5605468750.0,3.132490297736555,0.027853820863197654,0.23769348232411375,0.0197,2585.0,0.0,FlySky_FST6,FlySky_FST6,FlySky_FST6_0007.mat,COMPLETE_IQ_ANALYSIS/raw_iq_signals/FlySky_FST6_0007_iq.npy
True,200000,20000000000.0,0.9808386671739753,0.19482173637630165,0.03795550896467718,0.9999999999941488,2.4953369819757234,0.07444498942284884,2.4208919925528747,2.544085042204572,-0.026467027037452965,0.09705956564045515,-0.9601522117422493,0.19746050304619875,0.03899065026325787,0.05419259342433981,0.10107556845761678,0.980246356778127,0.007514593052353275,0.19763757462275253,0.039060610902764074,0.0040354169218071905,0.21209101388090135,0.19778038328283862,0.9676668047946025,-0.007785531552031643,-8.675560403093298e-05,0.9982089209849131,6.100754890995165,0.08905198120727655,2.976302753078399,8.858378077982058,6.283175475636236,-0.06139469704880093,-1.9889164511673014,3.834225271654508e-05,-1.3707518771363028,2.84313516016519,9.138392796347683,77042.90758955001,533724855.1035985,2.848622209553572e+17,17633363183.28089,-1.040320294560351,4.071925565072751,21485219859116.3,2.2806982065168018e+18,0.9420612407963902,0.19862770799751384,0.24307546397581972,0.27106400437640366,2023811269.7053108,1797769076.6234865,4497070312.5,5766601562.5,3.1337691651368966,0.022160549970324683,0.21170632463922398,0.021505,2738.0,0.0,Futaba_T8FG,Futaba_T8FG,Futaba_T8FG_0007.mat,COMPLETE_IQ_ANALYSIS/raw_iq_signals/Futaba_T8FG_0007_iq.npy
True,200000,20000000000.0,0.9917573894264322,0.1281299359161245,0.016417280477870177,0.999999999979901,4.185843284792918,0.41180922825470695,3.7740340565382113,4.220632313321625,0.0903627179805457,1.9393645551733858,-0.9832841299527311,0.12845697187579505,0.0165011936234988,-0.008667250462220305,0.026927556454194868,0.9916394878383967,0.00711219035509152,0.12884309398550295,0.016600542867757143,-0.16325382776205427,5.010272741590102,0.12903924255591476,0.9903963203078225,-0.026069301909556943,-2.1713024345053754e-05,0.9940153014245502,9.585953746469249,0.13931058024331588,3.0345552291102655,9.208525438520457,6.2831814627463745,-0.09324871990301514,-1.9885864435227638,6.120022615021621e-09,-3.1488373706364388,0.13184025407712902,2.09617673779495,-20853.694977386873,392969946.9551656,1.544253792099457e+17,11063136357.361618,-0.5684648204290209,1.2339134265317968,109450008381824.27,1.6917258943247997e+18,0.8208610907038109,0.12919483865917783,0.16224810684830537,0.18312440829285517,2678365230.244606,1891799676.6111746,5180664062.5,5981445312.5,3.1343438604440697,0.008651446913551908,0.13182630948473387,0.023025,3387.0,0.0,Graupner_MC32,Graupner_MC32,Graupner_MC32_0009.mat,COMPLETE_IQ_ANALYSIS/raw_iq_signals/Graupner_MC32_0009_iq.npy
